HGNC ID	Approved Symbol	Entrez Gene ID
1641	CD209	30835
1643	CD22	933
1645	CD24	100133941
1646	CD24P1	935
1647	CD24P2	936
1648	CD24P3	937
1649	CD24P4	938
1653	CD28	940
1656	CD2BP2	10421
1659	CD33	945
1662	CD34	947
1663	CD36	948
1664	SCARB1	949
1665	SCARB2	950
1666	CD37	951
1667	CD38	952
1673	CD3D	915
1674	CD3E	916
1675	CD3G	917
1677	CD247	919
1678	CD4	920
1681	CD44	960
1682	CD47	961
1683	CD48	962
1685	CD5	921
1686	CD53	963
1688	CD58	965
1689	CD59	966
1690	CD5L	922
1691	CD6	923
1692	CD63	967
1693	CD68	968
1694	CD69	969
1695	CD7	924
1696	CD72	971
1697	CD74	972
1698	CD79A	973
1699	CD79B	974
1700	CD80	941
1701	CD81	975
1703	CD83	9308
1704	CD84	8832
1705	CD86	942
1706	CD8A	925
1707	CD8B	926
1708	CD8B2	927
1709	CD9	928
1711	ADGRE5	976
1712	CDA	978
